Item Code,Description,Brand,Packing,Weight,UOM
POU0039,TURKEY BREAST B/L S/L,BOLCA,1x1KG,1,KG
FPP0001,DORI FILLET 2.5KG,AMAR,4x2.5KG,10,KG
POU0098,CHICKEN WINGS 15KG,AURORA,1x15KG,15,KG
POU0099,CHICKEN LEG B/L S/L 12KG,AURORA,6x2KG,12,KG
POU0072,CHICKEN DRUMSTICK 12X900GM,BELLAVES,12x900GM,10.8,CTN
POU0091,CHICKEN LIVER 9KG,BELLAVES,20x450GM,9,CTN
POU0096,CHICKEN GIZZARD 450GM,BELLAVES,20x450GM,9,CTN
POU0036,CHICKEN THIGH B/L S/L 12KG,CANCAO,6x2KG,12,KG
POU0034,CHICKEN LEG B/L S/L -12KG,COPACOL,6x2KG,12,KG
POU0067,CHICKEN SHAWARMA 10KG,DIPLOMATA,4x2.5KG,10,KG
MEA0053,LAMB LEG B/IN,FLETCHER,1x1KG,1,KG
MEA0064,MUTTON LEG B/L,FLETCHER,1x1KG,1,KG
MEA0065,MUTTON SHANK,FLETCHER,1x1KG,1,KG
MEA0067,MUTTON TENDERLOIN,FLETCHER,1x1KG,1,KG
MEA0085,BEEF NECK,FRIBOI,1x1KG,1,KG
MEA0046,BEEF TRIMMING,FRIBOI,1x1KG,1,KG
MEA0277,BEEF RUMP,PUL,1x1KG,1,KG
MEA0148,BEEF SHOULDER,FRIBOI,1x1KG,1,KG
MEA0160,BEEF KNUCKLE,DOM GLUTAO,1x1KG,1,KG
FPP0004,CHICKEN NUGGETS,GENERAL,5x2KG,10,KG
FPP0008,CHICKEN BURGER 50GM,GENERAL,5x1KG,5,KG
FPP0011,CHICKEN MORTADELLA ROLL,GENERAL,4x2.5KG,10,KG
FPP0012,BEEF SALAMI ROLL,GENERAL,4x2.5KG,10,KG
FPP0029,BEEF PEPPERONI SLICE,GENERAL,4x2.5KG,10,KG
FPP0030,BEEF BACON,GENERAL,20x500GM,10,KG
FPP0046,SMOKED TURKEY BREAST ROLL,GENERAL,20x500GM,10,KG
FPP0067,BEEF MORTADELLA ROLL,GENERAL,20x500GM,10,KG
FPP0070,BEEF BURGER 50GM,GENERAL,5x1KG,5,KG
FPP0085,TURKEY MORTADELLA ROLL,GENERAL,4x2.5KG,10,KG
FPP0092,TURKEY BACON,GENERAL,20x500GM,10,KG
FRI0014,VEGETABLE SAMOSA,GENERAL,5x1KG,5,CTN
FRI0016,CHICKEN SAMOSA,GENERAL,5x1KG,5,CTN
FRI0026,VEGETABLE SPRING ROLL,GENERAL,5x1KG,5,CTN
FRI0027,CHICKEN SPRING ROLL,GENERAL,5x1KG,5,CTN
MEA0135,BEEF SHANK,PUL,1x1KG,1,KG
MEA0138,BEEF TAIL,PUL,1x1KG,1,KG
MEA0143,LAMB SHANK,FLETCHER,1x1KG,1,KG
POU0064,CHICKEN BREAST CALIBRATED 170GM,GENERAL,2x5KG,10,KG
POU0077,IQF CHICKEN BREAST (UC),GENERAL,1x10KG,10,KG
VEG0010,OKRA ZERO,GENERAL,20X400GM,8,KG
POU0046,DUCK 2200GM,GERMANIA,6x2200GM,13.2,KG
POU0047,DUCK 2400GM,GERMANIA,6x2400GM,14.4,KG
POU0048,DUCK 2600GM,GERMANIA,6x2600GM,15.6,KG
MEA0144,BEEF SHORT RIBS,GJ,1x1KG,1,KG
MEA0188,BEEF TOPSIDE,GJ,1x1KG,1,KG
POU0112,CHICKEN GRILLER  800GM,GTA,10x800GM,8,KG
POU0113,CHICKEN GRILLER  900GM,GTA,10x900GM,9,KG
POU0114,CHICKEN GRILLER 1000GM,GTA,10x1000GM,10,KG
POU0116,CHICKEN GRILLER 1200GM,GTA,10x1200GM,12,KG
POU0065,CHICKEN SHAWARMA 10KG,LAR,4x2.5KG,10,KG
POU0119,CHICKEN GRILLER 1500GM,GTA,10x1500GM,0,KG
MEA0123,MUTTON CUBES 18KG,LEGEND,20x900GM,18,CTN
MEA0128,BEEF CUBES 18KG,LEGEND,20x900GM,18,CTN
FRI0046,POTATO ROSTI,LUTOSA,10x1KG,10,KG
FRI0048,COATED SKINNY S/ON XTRA CRISPY 5/5,LUTOSA,4x2.5KG,10,KG
FRI0058,POTATO CROQUETTES,LUTOSA,4x2.5KG,10,KG
MEA0087,LAMB RACK,MC PHEE,1x1KG,1,KG
FRI0060,ONION RINGS 6KG,LUTOSA,1x6KG,6,KG
MEA0183,LAMB LEG B/L,MC HERD,1x1KG,1,KG
MEA0044,BEEF TAIL,MINERVA,1x1KG,1,KG
POU0055,CHICKEN LIVER 9KG,NAT,20x450GM,9,CTN
POU0163,CHICKEN GRILLER  900GM,NAT,10x900GM,9,KG
MEA0169,BEEF CUBEROLL,PUL,1x1KG,1,KG
POU0164,CHICKEN GRILLER 1000GM,NAT,10x1000GM,10,KG
POU0165,CHICKEN GRILLER 1100GM,NAT,10x1100GM,11,KG
POU0166,CHICKEN GRILLER 1200GM,NAT,10x1200GM,12,KG
POU0167,CHICKEN GRILLER 1300GM,NAT,10x1300GM,13,KG
VEG0002,MIX VEGETABLES (3),NOWACO,4x2.5KG,10,KG
VEG0003,BROCCOLI 2.5KG,NOWACO,4x2.5KG,10,KG
VEG0004,GREEN PEAS 10KG,NOWACO,4x2.5KG,10,KG
VEG0005,MIX VEGETABLES (4),NOWACO,4x2.5KG,10,KG
VEG0006,LEAF SPINACH,NOWACO,4x2.5KG,10,KG
